"","movement","environment","tactic","run","total_energy","total_cpu","total_ram"
"137","FIXED","obstacles","ee1",7,1339910.195,20.1554032258065,23.8395967741936
"138","FIXED","obstacles","ee1",8,1256374.355,20.1183193277311,23.8373109243697
"139","FIXED","obstacles","ee1",9,1344987.365,19.9997520661157,23.1937190082645
"140","FIXED","obstacles","ee1",10,1305125.835,20.32734375,23.78703125
"141","FIXED","obstacles","ee2",1,1248113.725,17.7872268907563,23.8103361344538
"142","FIXED","obstacles","ee2",2,1280179.72,17.88875,23.2311666666667
"143","FIXED","obstacles","ee2",3,1235896.32,17.8195,23.8040833333333
"144","FIXED","obstacles","ee2",4,1222145.41,17.6433333333333,23.7931666666667
"145","FIXED","obstacles","ee2",5,1312199.17,17.1144,23.8076
"146","FIXED","obstacles","ee2",6,1317929.875,17.35140625,24.398125
"147","FIXED","obstacles","ee2",7,1242825.435,17.6654330708661,23.88
"148","FIXED","obstacles","ee2",8,1202994.38,17.9106349206349,23.7984920634921
"149","FIXED","obstacles","ee2",9,1193458.825,17.8913333333333,23.15875
"150","FIXED","obstacles","ee2",10,1276717.715,17.7141129032258,23.7937903225806
"151","FIXED","obstacles","ee3",1,1348722.585,18.3407086614173,23.1965354330709
"152","FIXED","obstacles","ee3",2,1282452.21,18.0347933884298,23.1022314049587
"153","FIXED","obstacles","ee3",3,1291449.465,18.2156557377049,23.7829508196721
"154","FIXED","obstacles","ee3",4,1321939.105,18.3077777777778,23.8056349206349
"155","FIXED","obstacles","ee3",5,1347811.58,18.3687301587302,23.7849206349206
"156","FIXED","obstacles","ee3",6,1348908.09,18.292015503876,23.7586046511628
"157","FIXED","obstacles","ee3",7,1243033.7,18.3426771653543,24.4609448818898
"158","FIXED","obstacles","ee3",8,1302117.76,18.2039669421488,23.1014049586777
"159","FIXED","obstacles","ee3",9,1258600.165,18.3,23.7346456692913
"160","FIXED","obstacles","ee3",10,1257184.315,18.8410569105691,23.7987804878049
"161","FIXED","obstacles","ee4",1,1197486.49,20.7370588235294,25.0396638655462
"162","FIXED","obstacles","ee4",2,1301701.335,20.2358015267176,25.0540458015267
"163","FIXED","obstacles","ee4",3,1246945.815,20.3453278688525,23.7765573770492
"164","FIXED","obstacles","ee4",4,1236734.77,20.4887394957983,23.793781512605
"165","FIXED","obstacles","ee4",5,1196635.55,20.5947899159664,24.3680672268908
"166","FIXED","obstacles","ee4",6,1230684.43,20.2216806722689,25.0515966386555
"167","FIXED","obstacles","ee4",7,1274803.335,20.1640495867769,23.7969421487603
"168","FIXED","obstacles","ee4",8,1218622.925,20.3265833333333,23.7946666666667
"169","FIXED","obstacles","ee4",9,1279104.07,20.7585714285714,23.8487969924812
"170","FIXED","obstacles","ee4",10,1243036.78,20.7961538461538,23.7458461538462
"171","FIXED","obstacles","combined",1,1211077.39,19.9233870967742,29.5239516129032
"172","FIXED","obstacles","combined",2,1171467.375,19.6571428571429,24.5846825396825
"173","FIXED","obstacles","combined",3,1224641.24,19.4749193548387,24.0408064516129
"174","FIXED","obstacles","combined",4,1249921.525,19.47752,24.64696
"175","FIXED","obstacles","combined",5,1266824.31,19.6837190082645,23.990826446281
"176","FIXED","obstacles","combined",6,1172918.59,19.8128225806452,25.3083870967742
"177","FIXED","obstacles","combined",7,1240777.62,19.7247727272727,24.6684848484849
"178","FIXED","obstacles","combined",8,1254530.115,19.4327049180328,24.6674590163934
"179","FIXED","obstacles","combined",9,1183959.845,19.0747540983607,24.6465573770492
"180","FIXED","obstacles","combined",10,1158982.085,19.5987096774194,24.6325
"181","AUTONOMOUS","empty","baseline",1,1308894.42,20.1297619047619,23.2101587301587
"182","AUTONOMOUS","empty","baseline",2,1416814.505,20.46765625,23.821171875
"183","AUTONOMOUS","empty","baseline",3,1380620.17,20.11784,23.18016
"184","AUTONOMOUS","empty","baseline",4,1370376.26,20.0383870967742,23.8566129032258
"185","AUTONOMOUS","empty","baseline",5,1347539.68,20.0950393700787,23.1709448818898
"186","AUTONOMOUS","empty","baseline",6,1342644.315,19.8728455284553,23.8437398373984
"187","AUTONOMOUS","empty","baseline",7,1311278.71,20.0768292682927,23.8812195121951
"188","AUTONOMOUS","empty","baseline",8,1334617.865,20.1593548387097,23.7873387096774
"189","AUTONOMOUS","empty","baseline",9,1328185.855,19.8288976377953,23.8215748031496
